concepto,definicion
ELM,ELM - El modelo ELM o modelo de la probabilidad de elaboración de la persuasión propone que los mensajes de la comunicación persuasiva -destinados a la modificación de las actitudes- activan una de dos rutas posibles para la persuasión. Ambas rutas son polos de un mismo continuo. La ruta central implica una actitud de esfuerzo cognitivo que ocurre cuando se realiza una evaluación crítica del mensaje -el individuo analiza y evalúa y relaciona el contenido con sus conocimientos y experiencias previas. El individuo quiere y puede elaborar el mensaje. El receptor elabora pues cognitivamente la información disponible. El procesamiento periférico ocurre cuando no se dedica mucho esfuerzo cognitivo al contenido del mensaje. El individuo o no quiere o no puede elaborar el mensaje. La persuasión se produce por la influencia de heurísticos o claves externas al mensaje. 
exposición selectiva,exposición selectiva - La percepción selectiva es un tipo de sesgo cognitivo que se da en el proceso de percepción cuando el sujeto -en función de sus expectativas- selecciona un objeto de atención y desatiende la parte restante de la información.
frecuencia efectiva mínima,frecuencia efectiva mínima - La frecuencia efectiva mínima es el número mínimo de impactos por persona de la cobertura efectiva que permite alcanzar los objetivos de comunicación por encima de un determinado nivel crítico.
frecuencia efectiva,frecuencia efectiva - La frecuencia efectiva mínima es el número mínimo de impactos por persona de la cobertura efectiva que permite alcanzar los objetivos de comunicación por encima de un determinado nivel crítico.
frecuencia media,frecuencia media - La frecuencia media es el número medio de impactos por persona de la cobertura. Se calcula dividiendo el número de impactos entre la cobertura.
GRP,GRP - GRP es el número medio de impactos por cada 100 personas de la población.
habilidad,habilidad - La habilidad se define como la destreza o capacidad del receptor para interpretar el contenido presente en el estímulo (e.g. anuncio).
homogeneidad de los individuos,homogeneidad de los individuos - Como señala Aldás (1998) en su tesis doctoral la población es homogénea cuando cada uno de los M individuos de la población tiene la misma probabilidad de exposición ante un soporte dado.
heterogeneidad de los individuos,heterogeneidad de los individuos - Como señala Aldás (1998) en su tesis doctoral la población es heterogénea cuando cada uno de los M individuos de la población no tiene la misma probabilidad de exposición ante un soporte dado.
homogeneidad de los soportes,homogeneidad de los soportes - Como señala Aldás (1998) en su tesis doctoral los soportes son homogéneos cuando tienen la misma probabilidad de ser leídos o vistos u oídos por un individuo determinado. Lo contrario se denomina heterogeniedad de los soportes. En este caso se asume que estas probabilidades son distintas en cada uno de los N soportes que conforman el plan de medios.
heterogeneidad de los soportes,heterogeneidad de los soportes - Como señala Aldás (1998) en su tesis doctoral los soportes son homogéneos cuando tienen la misma probabilidad de ser leídos o vistos u oídos por un individuo determinado. Lo contrario se denomina heterogeniedad de los soportes. En este caso se asume que estas probabilidades son distintas en cada uno de los N soportes que conforman el plan de medios.
implicación duradera,implicación duradera - La implicación duradera deriva de la relación continuada con el producto o servicio o marca (y su uso).
implicación situacional,implicación situacional - La implicación situacional surge de ciertos factores transitorios que afectan la relación individuo-estímulo. La presencia del factor transitorio (e.g. factor ambiental) dotaría de importancia al estímulo.
implicación,implicación - La implicación se define como la importancia que un individuo percibe de un producto o servicio o marca (y su uso) -basándose en sus necesidades o valores e intereses.
independencia de las audiencias entre soportes,independencia de las audiencias entre soportes - Como señala Aldás (1998) en su tesis doctoral la independencia de las audiencias (entre soportes) significa que la probabilidad de que un individuo resulte expuesto a un soporte no tiene ninguna influencia sobre la probabilidad de que resulte expuesto o no a otro. En este caso estamos ante modelos que también se denominan de duplicación aleatoria. La probabilidad de resultar expuesto a los dos soportes sería pues el producto de las probabilidades individuales. En caso contrario la duplicación se considera no aleatoria -y se denominan modelos de interdependencia de las audiencias o duplicación no aleatoria.
modelos de duplicación aleatoria,modelos de duplicación aleatoria - Como señala Aldás (1998) en su tesis doctoral la independencia de las audiencias (entre soportes) significa que la probabilidad de que un individuo resulte expuesto a un soporte no tiene ninguna influencia sobre la probabilidad de que resulte expuesto o no a otro. En este caso estamos ante modelos que también se denominan de duplicación aleatoria. La probabilidad de resultar expuesto a los dos soportes sería pues el producto de las probabilidades individuales. En caso contrario la duplicación se considera no aleatoria -y se denominan modelos de interdependencia de las audiencias o duplicación no aleatoria.
interdependencia de las audiencias entre soportes,interdependencia de las audiencias entre soportes - Como señala Aldás (1998) en su tesis doctoral la independencia de las audiencias (entre soportes) significa que la probabilidad de que un individuo resulte expuesto a un soporte no tiene ninguna influencia sobre la probabilidad de que resulte expuesto o no a otro. En este caso estamos ante modelos que también se denominan de duplicación aleatoria. La probabilidad de resultar expuesto a los dos soportes sería pues el producto de las probabilidades individuales. En caso contrario la duplicación se considera no aleatoria -y se denominan modelos de interdependencia de las audiencias o duplicación no aleatoria.
modelos de duplicación aleatoria,modelos de duplicación aleatoria - Como señala Aldás (1998) en su tesis doctoral la independencia de las audiencias (entre soportes) significa que la probabilidad de que un individuo resulte expuesto a un soporte no tiene ninguna influencia sobre la probabilidad de que resulte expuesto o no a otro. En este caso estamos ante modelos que también se denominan de duplicación aleatoria. La probabilidad de resultar expuesto a los dos soportes sería pues el producto de las probabilidades individuales. En caso contrario la duplicación se considera no aleatoria -y se denominan modelos de interdependencia de las audiencias o duplicación no aleatoria.
modelos de acumulación aleatoria,modelos de acumulación aleatoria - Como señala Aldás (1998) en su tesis doctoral los modelos de acumulación aleatoria son modelos en que la probabilidad de que un individuo resulte expuesto a una inserción en un soporte determinado no se ve influenciada porque haya o no resultado expuesto a una inserción anterior en ese mismo soporte.
modelos estacionarios,modelos estacionarios - Como señala Aldás (1998) en su tesis doctoral se denominan modelos estacionarios cuando las probabilidades de exposición son estables en el tiempo. Esto implica para los soportes que sus audiencias no varían en el corto plazo de una campaña de publicidad. Asumen que los individuos que en este mismo plazo no modifican sus hábitos de exposición.
índice de afinidad,índice de afinidad - El índice de afinidad es el cociente entre dos proporciones: la proporción de consumo o uso de un producto o servicio en un grupo de la población y la proporción de su consumo o uso en la población en su conjunto.
índice de utilidad,índice de utilidad - El índice de utilidad es el tanto por uno de audiencia (bruta) que es población objetivo.
interferencia proactiva,interferencia proactiva - La teoría de interferencia considera que el olvido se debe a la interferencia o perjuicio de ciertos recuerdos sobre otros. La interferencia proactiva tiene lugar cuando la información aprendida dificulta la retención de la información reciente. La interferencia retroactiva tiene lugar cuando la información nueva dificulta la retención de la información que se aprendió con anterioridad. 
interferencia retroactiva,interferencia retroactiva - La teoría de interferencia considera que el olvido se debe a la interferencia o perjuicio de ciertos recuerdos sobre otros. La interferencia proactiva tiene lugar cuando la información aprendida dificulta la retención de la información reciente. La interferencia retroactiva tiene lugar cuando la información nueva dificulta la retención de la información que se aprendió con anterioridad. 
interferencia,interferencia - La teoría de interferencia considera que el olvido se debe a la interferencia o perjuicio de ciertos recuerdos sobre otros. La interferencia proactiva tiene lugar cuando la información aprendida dificulta la retención de la información reciente. La interferencia retroactiva tiene lugar cuando la información nueva dificulta la retención de la información que se aprendió con anterioridad. 
marketing,marketing - En la práctica el marketing puede definirse como la gestión inteligente de las relaciones de intercambio.
memoria declarativa,memoria declarativa - La memoria declarativa (o memoria explícita) es uno de los dos tipos de memoria a largo plazo en los seres humanos. Hace referencia a aquellos recuerdos que pueden ser evocados conscientemente como hechos o eventos específicos.
memoria episódica,memoria episódica - La memoria episódica es aquella que se refiere al recuerdo de momentos o lugares o emociones y el contexto de los episodios de la vida.
memoria explícita,memoria explícita - La memoria declarativa (o memoria explícita) es uno de los dos tipos de memoria a largo plazo en los seres humanos. Hace referencia a aquellos recuerdos que pueden ser evocados conscientemente como hechos o eventos específicos.
memoria implícita,memoria implícita - La memoria implícita es un tipo de memoria en la que las experiencias previas ayudan en la ejecución de una tarea sin que exista percepción consciente de la existencia de esas experiencias.
memoria procedimental,memoria procedimental - En psicología cognitiva el conocimiento procedimental (memoria procedimental) es el conocimiento relacionado con cosas que sabemos hacer pero no conscientemente como en bicicleta o hablar nuestro idioma.
memoria semántica,memoria semántica - La memoria semántica es aquella información necesaria para el lenguaje; un 'diccionario mental' que no sólo incluye información del lenguaje (el significado de las palabras y conceptos) sino también sucesos y conocimientos generales sobre el mundo que nos rodea.
memoria,memoria - La memoria se define como todos los procesos por los cuales el ingreso sensorial es transformado - elaborado - almacenado - recuperado y utilizado.
modelo de la probabilidad de elaboración,modelo de la probabilidad de elaboración - El modelo ELM o modelo de la probabilidad de elaboración de la persuasión propone que los mensajes de la comunicación persuasiva -destinados a la modificación de las actitudes- activan una de dos rutas posibles para la persuasión. La ruta central implica una actitud de esfuerzo cognitivo que ocurre cuando se realiza una evaluación crítica del mensaje. El receptor elabora cognitivamente la información disponible. La ruta periférica ocurre cuando no se dedica mucho esfuerzo cognitivo al contenido del mensaje. La persuasión se produce por la influencia de heurísticos y claves externas al mensaje. 
motivación,motivación - La motivación se define como el deseo de procesar el contenido de marca presente en el estímulo (e.g. anuncio).
objetivos de la publicidad,objetivos de la publicidad - Los objetivos de la publicidad son 6: exposición / memoria / actitud / intención / ventas / rentabilidad. Los cuatro primeros son los objetivos directos de la publicidad. Los dos últimos son los objetivos de marketing o finales. La secuencia natural desde el punto de vista del receptor es el indicado antes. La secuencia lógica desde el punto de vista del planificador es la inversa; la publicidad se subordina a los planteamientos estratégicos de marketing.
oportunidad,oportunidad - La oportunidad se define como el grado en que las circunstancias manifestadas – internas y externas- durante la exposición al estímulo (e.g. anuncio) son favorables al procesamiento y no distraen la atención.
planificación de medios,planificación de medios - González Lobo (1994) define la planificación de medios como 'una decisión acerca de los medios y soportes a utilizar en una campaña para cumplir los objetivos de la misma'.
publicidad informativa,publicidad informativa - La publicidad informativa actúa como medio transmitiendo elementos de naturaleza demostrable relacionados con aspectos intrínsecos o extrínsecos del producto o servicio.
publicidad transformativa,publicidad transformativa - La publicidad transformativa 'transforma' la esencia del producto o servicio añadiéndole intangibles de los que carece originalmente.
publicidad y elasticidad elástica,publicidad y elasticidad elástica - La elasticidad elástica se relaciona con la publicidad informativa. La publicidad informativa aumenta la transparencia del mercado ofreciendo información tangible que es fácilmente demostrable y comparable sobre el producto. Las variaciones en los precios de los productos publicitados provocan variaciones más que proporcionales en la demanda de los mismos. La publicidad actúa como agente que promueve la competencia.
publicidad y elasticidad rígida,publicidad y elasticidad rígida - La elasticidad rígida es una probable consecuencia de la publicidad transformativa. Se busca una cualidad o valor difícilmente imitable (e.g. afectos) que persigue una reducida sustituibilidad (unicidad) y consecuentemente la satisfacción y compromiso afectivo de los receptores. La publicidad actúa como agente reductor de la competencia.
publicidad,publicidad - La publicidad es una forma indirecta de persuasión basada en reclamos informativos o emocionales sobre los beneficios del producto -diseñados para crear una impresión mental favorable que desplace la mente hacia la compra.
rating,rating - El rating del soporte i es el porcentaje de población alcanzada en caso de realizar una inserción en el soporte i.
reconocimiento,reconocimiento - El reconocimiento es un tipo de recuperación de la memoria en que el receptor se expone nuevamente al estímulo tal como presuntamente fue procesado. En una prueba de control de reconocimiento el receptor debe señalar SÍ o NO reconoce haberlo visto. El reconocimiento se beneficia de aprendizajes parciales. Se recomienda acompañar el estímulo con elementos distractores.
recuerdo,recuerdo - El recuerdo es un tipo de recuperación de la memoria en que el receptor cuenta con una clave de recuperación o 'pista': un contexto inespecífico (recuerdo bruto) o parcial (asistido). El contenido a recuperar (recordar) debe estar disponible en la memoria y accesible 'motu proprio' para que la prueba de recuperación sea exitosa.
retención selectiva,retención selectiva - La retención selectiva es la inclinación de recordar la información que le conviene a los individuos influenciado por las necesidades o las actitudes y también otros factores psicológicos. 
ruta central,ruta central - El modelo ELM o modelo de la probabilidad de elaboración de la persuasión propone que los mensajes de la comunicación persuasiva -destinados a la modificación de las actitudes- activan una de dos rutas posibles para la persuasión. La ruta central implica una actitud de esfuerzo cognitivo que ocurre cuando se realiza una evaluación crítica del mensaje. El receptor elabora cognitivamente la información disponible. El procesamiento periférico ocurre cuando no se dedica mucho esfuerzo cognitivo al contenido del mensaje. La persuasión se produce por la influencia de heurísticos y claves externas al mensaje. 
ruta periférica,ruta periférica - El modelo ELM o modelo de la probabilidad de elaboración de la persuasión propone que los mensajes de la comunicación persuasiva -destinados a la modificación de las actitudes- activan una de dos rutas posibles para la persuasión. La ruta central implica una actitud de esfuerzo cognitivo que ocurre cuando se realiza una evaluación crítica del mensaje. El receptor elabora cognitivamente la información disponible. El procesamiento periférico ocurre cuando no se dedica mucho esfuerzo cognitivo al contenido del mensaje. La persuasión se produce por la influencia de heurísticos y claves externas al mensaje.
